indice_original,precio_real,prediccion,error,error_absoluto,error_pct,conjunto
321,85500.0,96180.51,10680.508,10680.508,12.491821,Train
637,302000.0,291362.0,-10638.0,10638.0,-3.5225165,Train
229,154000.0,164508.0,10508.0,10508.0,6.8233767,Train
120,82500.0,92991.31,10491.3125,10491.3125,12.7167425,Train
209,88000.0,98325.016,10325.016,10325.016,11.732972,Train
129,270000.0,280269.06,10269.0625,10269.0625,3.8033564,Train
1108,98600.0,108812.88,10212.883,10212.883,10.357893,Train
181,105500.0,115708.5,10208.5,10208.5,9.676303,Train
123,423000.0,412895.3,-10104.6875,10104.6875,-2.388815,Train
195,82500.0,92597.56,10097.5625,10097.5625,12.23947,Train
1040,105000.0,115002.48,10002.477,10002.477,9.526168,Train
477,318000.0,308048.3,-9951.6875,9951.6875,-3.1294615,Train
402,285000.0,275126.3,-9873.6875,9873.6875,-3.4644518,Train
192,232000.0,222240.14,-9759.859,9759.859,-4.2068357,Train
169,90350.0,100091.266,9741.266,9741.266,10.781699,Train
919,80000.0,89704.016,9704.016,9704.016,12.130019,Train
799,239686.0,249334.52,9648.516,9648.516,4.0254817,Train
679,319000.0,328607.2,9607.1875,9607.1875,3.0116575,Train
175,181000.0,190582.56,9582.5625,9582.5625,5.2942333,Train
790,163990.0,173542.02,9552.016,9552.016,5.8247547,Train
1016,120000.0,129492.17,9492.172,9492.172,7.9101434,Train
1131,286000.0,295400.75,9400.75,9400.75,3.2869756,Train
1003,82500.0,91889.664,9389.664,9389.664,11.381411,Train
767,100000.0,109386.945,9386.945,9386.945,9.386945,Train
535,160000.0,169375.53,9375.531,9375.531,5.859707,Train
420,81000.0,90210.4,9210.398,9210.398,11.370863,Train
984,383970.0,374797.56,-9172.4375,9172.4375,-2.3888423,Train
395,229000.0,219889.48,-9110.516,9110.516,-3.9783912,Train
54,374000.0,383089.03,9089.031,9089.031,2.4302223,Train
683,119500.0,128573.83,9073.828,9073.828,7.5931616,Train
165,313000.0,303979.75,-9020.25,9020.25,-2.881869,Train
1167,174000.0,183016.62,9016.625,9016.625,5.181968,Train
558,280000.0,271025.66,-8974.344,8974.344,-3.2051227,Train
653,80000.0,88935.53,8935.531,8935.531,11.1694145,Train
1048,115000.0,123911.36,8911.359,8911.359,7.749008,Train
417,128000.0,136890.69,8890.6875,8890.6875,6.9458494,Train
941,122000.0,130847.695,8847.695,8847.695,7.252209,Train
782,109900.0,118720.43,8820.43,8820.43,8.025869,Train
733,281213.0,272396.25,-8816.75,8816.75,-3.135257,Train
301,104900.0,113671.25,8771.25,8771.25,8.361535,Train
239,372500.0,363742.53,-8757.469,8757.469,-2.3509984,Train
803,114500.0,123166.914,8666.914,8666.914,7.569357,Train
750,80000.0,88607.75,8607.75,8607.75,10.759687,Train
865,267000.0,258449.6,-8550.406,8550.406,-3.2023993,Train
824,318000.0,326535.2,8535.1875,8535.1875,2.6840212,Train
954,105000.0,113528.69,8528.6875,8528.6875,8.12256,Train
371,151000.0,159518.39,8518.391,8518.391,5.6413183,Train
598,271000.0,279513.44,8513.4375,8513.4375,3.1414897,Train
370,39300.0,47810.14,8510.141,8510.141,21.654303,Train
668,94500.0,102988.805,8488.805,8488.805,8.982862,Train
158,112500.0,120985.3,8485.297,8485.297,7.542486,Train
1043,116500.0,124953.2,8453.203,8453.203,7.2559686,Train
221,255500.0,263909.78,8409.781,8409.781,3.2914996,Train
367,129000.0,137308.6,8308.594,8308.594,6.44077,Train
49,129000.0,137225.66,8225.656,8225.656,6.3764777,Train
85,190000.0,181840.4,-8159.5938,8159.5938,-4.2945232,Train
337,134450.0,142601.44,8151.4375,8151.4375,6.0628023,Train
425,205000.0,196863.8,-8136.203,8136.203,-3.9688795,Train
1101,106000.0,114112.164,8112.164,8112.164,7.6529846,Train
214,210000.0,201898.12,-8101.875,8101.875,-3.8580358,Train
1123,98300.0,106382.14,8082.1406,8082.1406,8.221913,Train
298,108000.0,116045.86,8045.8594,8045.8594,7.4498696,Train
179,109500.0,117544.66,8044.6562,8044.6562,7.346718,Train
225,110000.0,118038.414,8038.414,8038.414,7.3076487,Train
1162,278000.0,269963.9,-8036.0938,8036.0938,-2.8906813,Train
755,100000.0,108024.586,8024.586,8024.586,8.024587,Train
69,120000.0,127987.8,7987.797,7987.797,6.6564975,Train
201,312500.0,304549.56,-7950.4375,7950.4375,-2.54414,Train
666,91000.0,98945.82,7945.8203,7945.8203,8.73167,Train
1047,118000.0,125914.06,7914.0625,7914.0625,6.7068324,Train
918,58500.0,66387.6,7887.6016,7887.6016,13.483079,Train
541,82000.0,89882.59,7882.5938,7882.5938,9.612919,Train
217,117500.0,125378.91,7878.9062,7878.9062,6.705452,Train
326,197500.0,205374.14,7874.1406,7874.1406,3.9869065,Train
734,275500.0,267661.34,-7838.6562,7838.6562,-2.8452473,Train
628,149000.0,156797.23,7797.2344,7797.2344,5.233043,Train
1095,164990.0,172765.36,7775.3594,7775.3594,4.7126245,Train
732,117000.0,124769.95,7769.953,7769.953,6.6409855,Train
652,60000.0,67760.18,7760.1797,7760.1797,12.933634,Train
953,127500.0,135211.34,7711.3438,7711.3438,6.048113,Train
1057,160000.0,167685.7,7685.703,7685.703,4.8035645,Train
795,88000.0,95646.125,7646.125,7646.125,8.688779,Train
1118,125000.0,132641.61,7641.6094,7641.6094,6.1132874,Train
972,112000.0,119616.91,7616.9062,7616.9062,6.8008094,Train
951,105000.0,112606.2,7606.203,7606.203,7.244003,Train
318,260000.0,252394.11,-7605.8906,7605.8906,-2.9253426,Train
1142,110000.0,117569.24,7569.242,7569.242,6.8811297,Train
975,250000.0,242442.22,-7557.7812,7557.7812,-3.0231125,Train
52,219210.0,211664.44,-7545.5625,7545.5625,-3.4421616,Train
71,248000.0,240475.9,-7524.0938,7524.0938,-3.0339088,Train
67,350000.0,342499.12,-7500.875,7500.875,-2.1431072,Train
1045,285000.0,277513.25,-7486.75,7486.75,-2.6269298,Train
198,236500.0,243935.44,7435.4375,7435.4375,3.1439483,Train
658,131500.0,138927.55,7427.547,7427.547,5.6483245,Train
649,122900.0,130277.86,7377.8594,7377.8594,6.0031404,Train
815,295000.0,287623.97,-7376.0312,7376.0312,-2.5003495,Train
246,215000.0,207624.3,-7375.703,7375.703,-3.4305596,Train
481,123000.0,130328.484,7328.4844,7328.4844,5.9581175,Train
487,120000.0,127319.81,7319.8125,7319.8125,6.099844,Train
600,120000.0,127310.39,7310.3906,7310.3906,6.0919924,Train
1143,186700.0,179439.61,-7260.3906,7260.3906,-3.8888006,Train
962,162000.0,169245.64,7245.6406,7245.6406,4.4726176,Train
527,80000.0,87233.61,7233.6094,7233.6094,9.042011,Train
841,90000.0,97229.98,7229.9766,7229.9766,8.033307,Train
156,135000.0,142229.5,7229.5,7229.5,5.355185,Train
429,89500.0,96680.67,7180.672,7180.672,8.023097,Train
548,116000.0,123165.75,7165.75,7165.75,6.1773705,Train
1127,108000.0,115154.43,7154.4297,7154.4297,6.624472,Train
665,73000.0,80153.5,7153.5,7153.5,9.799315,Train
260,339750.0,332665.8,-7084.1875,7084.1875,-2.0851178,Train
760,287090.0,280021.75,-7068.25,7068.25,-2.4620328,Train
25,164700.0,171698.86,6998.8594,6998.8594,4.2494593,Train
21,200000.0,193040.81,-6959.1875,6959.1875,-3.4795938,Train
56,250000.0,243080.77,-6919.2344,6919.2344,-2.7676938,Train
594,244000.0,237083.06,-6916.9375,6916.9375,-2.8348105,Train
1155,118000.0,124866.02,6866.0234,6866.0234,5.818664,Train
408,326000.0,319142.0,-6858.0,6858.0,-2.103681,Train
150,212000.0,218857.34,6857.3438,6857.3438,3.234596,Train
934,83000.0,89855.875,6855.875,6855.875,8.260091,Train
16,217000.0,210147.1,-6852.9062,6852.9062,-3.1580212,Train
153,140000.0,146802.25,6802.25,6802.25,4.85875,Train
534,167900.0,174695.66,6795.6562,6795.6562,4.0474424,Train
522,78000.0,84785.445,6785.4453,6785.4453,8.699288,Train
523,179600.0,186379.69,6779.6875,6779.6875,3.7748816,Train
116,240000.0,233225.84,-6774.1562,6774.1562,-2.822565,Train
764,107000.0,113766.71,6766.711,6766.711,6.324029,Train
864,177000.0,183743.25,6743.25,6743.25,3.8097458,Train
411,89500.0,96184.52,6684.5234,6684.5234,7.4687414,Train
596,110000.0,116669.81,6669.8125,6669.8125,6.063466,Train
655,132500.0,139160.39,6660.3906,6660.3906,5.02671,Train
982,226000.0,232650.58,6650.578,6650.578,2.9427338,Train
544,111000.0,117639.47,6639.4688,6639.4688,5.9815035,Train
699,129500.0,136123.0,6623.0,6623.0,5.114286,Train
622,88000.0,94606.94,6606.9375,6606.9375,7.5078835,Train
809,125000.0,131606.33,6606.328,6606.328,5.2850623,Train
362,195000.0,188395.03,-6604.9688,6604.9688,-3.3871634,Train
922,258000.0,251395.94,-6604.0625,6604.0625,-2.559714,Train
426,127000.0,133570.66,6570.6562,6570.6562,5.173745,Train
319,119000.0,125556.2,6556.203,6556.203,5.509414,Train
500,125000.0,131552.08,6552.078,6552.078,5.2416625,Train
520,165500.0,172049.56,6549.5625,6549.5625,3.9574397,Train
573,93000.0,99548.27,6548.2734,6548.2734,7.0411544,Train
926,112000.0,118541.195,6541.1953,6541.1953,5.8403525,Train
393,255900.0,249364.97,-6535.0312,6535.0312,-2.553744,Train
1134,164900.0,171423.62,6523.625,6523.625,3.9561098,Train
105,155000.0,148478.72,-6521.2812,6521.2812,-4.2072783,Train
1111,268000.0,261491.3,-6508.703,6508.703,-2.4286206,Train
1029,132500.0,138979.64,6479.6406,6479.6406,4.890295,Train
259,110500.0,116944.56,6444.5625,6444.5625,5.8321834,Train
585,90000.0,96441.4,6441.3984,6441.3984,7.1571097,Train
485,133000.0,139438.52,6438.5156,6438.5156,4.840989,Train
1125,151000.0,157403.33,6403.328,6403.328,4.2406144,Train
333,132000.0,138367.64,6367.6406,6367.6406,4.8239703,Train
701,392000.0,385632.44,-6367.5625,6367.5625,-1.6243782,Train
593,582933.0,576571.25,-6361.75,6361.75,-1.0913347,Train
7,125500.0,131843.81,6343.8125,6343.8125,5.0548306,Train
404,144152.0,150475.47,6323.4688,6323.4688,4.3866673,Train
283,130500.0,136814.6,6314.5938,6314.5938,4.838769,Train
2,85000.0,91313.73,6313.7266,6313.7266,7.427913,Train
211,140000.0,146310.4,6310.4062,6310.4062,4.507433,Train
556,126000.0,132276.14,6276.1406,6276.1406,4.981064,Train
63,151500.0,157762.16,6262.1562,6262.1562,4.1334367,Train
309,206000.0,212260.78,6260.7812,6260.7812,3.0392141,Train
261,87000.0,93245.96,6245.961,6245.961,7.179266,Train
75,105000.0,111242.945,6242.9453,6242.9453,5.945662,Train
952,108000.0,114218.48,6218.4766,6218.4766,5.7578483,Train
1150,266000.0,272198.47,6198.4688,6198.4688,2.3302515,Train
144,110000.0,116187.875,6187.875,6187.875,5.625341,Train
1064,138000.0,144173.22,6173.2188,6173.2188,4.4733467,Train
1132,165000.0,171168.98,6168.9844,6168.9844,3.7387784,Train
721,147500.0,153662.75,6162.75,6162.75,4.1781354,Train
870,265000.0,258840.81,-6159.1875,6159.1875,-2.3242216,Train
545,252678.0,258823.31,6145.3125,6145.3125,2.4320726,Train
299,84000.0,90129.69,6129.6875,6129.6875,7.297247,Train
987,119900.0,126018.45,6118.453,6118.453,5.1029634,Train
339,306000.0,299919.7,-6080.3125,6080.3125,-1.9870303,Train
859,144000.0,137939.89,-6060.1094,6060.1094,-4.2084093,Train
279,82000.0,88058.29,6058.289,6058.289,7.388157,Train
344,227000.0,220954.45,-6045.547,6045.547,-2.6632366,Train
1083,128500.0,134533.5,6033.5,6033.5,4.6953306,Train
1154,200500.0,206515.56,6015.5625,6015.5625,3.0002806,Train
492,117000.0,122966.56,5966.5625,5966.5625,5.099626,Train
343,178000.0,183954.1,5954.0938,5954.0938,3.3449965,Train
72,124000.0,129940.836,5940.836,5940.836,4.790997,Train
546,110000.0,115937.36,5937.3594,5937.3594,5.397599,Train
886,134800.0,140728.48,5928.4844,5928.4844,4.3979855,Train
470,118500.0,124414.17,5914.172,5914.172,4.9908624,Train
1044,120500.0,126401.61,5901.6094,5901.6094,4.897601,Train
943,274000.0,279888.6,5888.5938,5888.5938,2.1491218,Train
843,259000.0,253132.5,-5867.5,5867.5,-2.265444,Train
135,170000.0,175864.11,5864.1094,5864.1094,3.449476,Train
1113,221500.0,227358.02,5858.0156,5858.0156,2.6447022,Train
183,271900.0,266043.78,-5856.2188,5856.2188,-2.1538134,Train
1164,135000.0,140838.27,5838.2656,5838.2656,4.324641,Train
324,112000.0,117814.28,5814.2812,5814.2812,5.1913223,Train
971,200000.0,205791.98,5791.9844,5791.9844,2.8959923,Train
132,238000.0,232234.9,-5765.0938,5765.0938,-2.4223082,Train
11,159950.0,165700.6,5750.5938,5750.5938,3.5952446,Train
728,221000.0,226746.42,5746.422,5746.422,2.6001909,Train
829,202665.0,208403.34,5738.3438,5738.3438,2.8314428,Train
1088,266500.0,260794.31,-5705.6875,5705.6875,-2.140971,Train
570,132500.0,138200.72,5700.7188,5700.7188,4.302429,Train
730,123600.0,129286.06,5686.0625,5686.0625,4.600374,Train
794,120500.0,126162.48,5662.4766,5662.4766,4.6991506,Train
443,173000.0,178662.27,5662.2656,5662.2656,3.272986,Train
511,87000.0,92637.5,5637.5,5637.5,6.479885,Train
912,200000.0,194378.08,-5621.922,5621.922,-2.810961,Train
17,125000.0,130617.7,5617.703,5617.703,4.4941626,Train
61,180000.0,185615.14,5615.1406,5615.1406,3.1195226,Train
134,224000.0,229564.92,5564.922,5564.922,2.4843402,Train
177,239000.0,233445.34,-5554.6562,5554.6562,-2.3241239,Train
771,89000.0,94546.65,5546.6484,5546.6484,6.2321897,Train
749,165500.0,171044.61,5544.6094,5544.6094,3.350217,Train
873,269500.0,263959.44,-5540.5625,5540.5625,-2.0558674,Train
632,161750.0,167285.66,5535.6562,5535.6562,3.4223533,Train
463,152000.0,146489.33,-5510.672,5510.672,-3.625442,Train
813,100000.0,105498.64,5498.6406,5498.6406,5.4986405,Train
119,213000.0,218496.1,5496.0938,5496.0938,2.5803256,Train
101,314813.0,309320.94,-5492.0625,5492.0625,-1.7445476,Train
729,112000.0,117484.3,5484.297,5484.297,4.8966937,Train
862,80500.0,85978.95,5478.953,5478.953,6.806153,Train
1062,126000.0,131476.89,5476.8906,5476.8906,4.346739,Train
352,100000.0,105470.49,5470.492,5470.492,5.4704924,Train
34,134900.0,140366.11,5466.1094,5466.1094,4.0519714,Train
303,106000.0,111465.33,5465.328,5465.328,5.15597,Train
1124,201800.0,196353.12,-5446.875,5446.875,-2.699145,Train
77,157900.0,152457.28,-5442.7188,5442.7188,-3.4469404,Train
584,109900.0,115334.52,5434.5234,5434.5234,4.9449716,Train
997,270000.0,264574.66,-5425.3438,5425.3438,-2.0093865,Train
1139,173000.0,178407.83,5407.828,5407.828,3.1259122,Train
501,226700.0,221299.08,-5400.922,5400.922,-2.3824093,Train
1085,203000.0,208378.06,5378.0625,5378.0625,2.6492918,Train
555,220000.0,225370.73,5370.7344,5370.7344,2.441243,Train
895,160000.0,165351.61,5351.6094,5351.6094,3.344756,Train
675,118000.0,123350.54,5350.539,5350.539,4.5343547,Train
647,164000.0,169349.11,5349.1094,5349.1094,3.261652,Train
480,104900.0,110235.98,5335.9766,5335.9766,5.0867267,Train
1094,103000.0,108330.0,5330.0,5330.0,5.1747575,Train
430,113000.0,118322.94,5322.9375,5322.9375,4.710564,Train
789,166000.0,171310.89,5310.8906,5310.8906,3.1993318,Train
456,135000.0,140305.84,5305.8438,5305.8438,3.9302547,Train
838,201000.0,195697.81,-5302.1875,5302.1875,-2.6379042,Train
497,263435.0,258138.84,-5296.1562,5296.1562,-2.0104225,Train
66,216000.0,221294.78,5294.7812,5294.7812,2.4512875,Train
107,128500.0,133794.27,5294.2656,5294.2656,4.120051,Train
1025,176000.0,181294.12,5294.125,5294.125,3.0080256,Train
973,128000.0,133258.34,5258.3438,5258.3438,4.108081,Train
465,168000.0,173253.47,5253.4688,5253.4688,3.1270647,Train
1014,280000.0,274761.0,-5239.0,5239.0,-1.8710715,Train
996,155000.0,160214.17,5214.172,5214.172,3.363982,Train
710,120500.0,125691.37,5191.367,5191.367,4.3081884,Train
709,127500.0,132650.48,5150.4844,5150.4844,4.0395956,Train
1051,185850.0,190988.78,5138.7812,5138.7812,2.7650154,Train
130,207500.0,212637.3,5137.297,5137.297,2.4758058,Train
15,200000.0,194875.98,-5124.0156,5124.0156,-2.562008,Train
581,175000.0,180112.19,5112.1875,5112.1875,2.92125,Train
678,136500.0,141590.19,5090.1875,5090.1875,3.7290752,Train
286,262280.0,257222.38,-5057.625,5057.625,-1.9283304,Train
466,260000.0,265045.47,5045.4688,5045.4688,1.9405649,Train
255,231500.0,226460.06,-5039.9375,5039.9375,-2.1770787,Train
808,189000.0,184007.11,-4992.8906,4992.8906,-2.641741,Train
366,109500.0,114492.38,4992.383,4992.383,4.5592537,Train
1146,125000.0,129990.32,4990.3203,4990.3203,3.9922562,Train
1068,230000.0,225010.1,-4989.9062,4989.9062,-2.1695244,Train
1133,196000.0,200988.72,4988.7188,4988.7188,2.5452647,Train
42,146000.0,150979.8,4979.797,4979.797,3.4108198,Train
406,248000.0,243022.95,-4977.047,4977.047,-2.0068738,Train
797,225000.0,220047.06,-4952.9375,4952.9375,-2.2013056,Train
981,167240.0,172156.53,4916.5312,4916.5312,2.9398057,Train
498,135000.0,139908.8,4908.797,4908.797,3.6361458,Train
1138,265979.0,261081.72,-4897.2812,4897.2812,-1.8412285,Train
992,301500.0,296619.88,-4880.125,4880.125,-1.6186153,Train
615,228000.0,223132.78,-4867.2188,4867.2188,-2.1347451,Train
613,79000.0,83857.37,4857.367,4857.367,6.1485662,Train
979,278000.0,282854.6,4854.5938,4854.5938,1.7462567,Train
656,159000.0,163839.33,4839.328,4839.328,3.0436027,Train
275,143000.0,147838.06,4838.0625,4838.0625,3.3832605,Train
685,92900.0,97724.95,4824.953,4824.953,5.193706,Train
532,176000.0,180800.1,4800.0938,4800.0938,2.727326,Train
84,239000.0,234204.56,-4795.4375,4795.4375,-2.0064592,Train
978,240000.0,235225.23,-4774.7656,4774.7656,-1.9894856,Train
162,85000.0,89773.96,4773.961,4773.961,5.6164246,Train
735,130000.0,134773.27,4773.2656,4773.2656,3.6717427,Train
387,120000.0,124752.125,4752.125,4752.125,3.9601042,Train
576,174000.0,178743.89,4743.8906,4743.8906,2.726374,Train
676,82000.0,86738.19,4738.1875,4738.1875,5.7782774,Train
762,79900.0,84631.69,4731.6875,4731.6875,5.922012,Train
410,180000.0,184722.25,4722.25,4722.25,2.6234722,Train
916,198900.0,203621.62,4721.625,4721.625,2.3738687,Train
178,118500.0,123197.74,4697.742,4697.742,3.9643395,Train
398,257000.0,252308.6,-4691.4062,4691.4062,-1.82545,Train
328,119750.0,124435.56,4685.5625,4685.5625,3.912787,Train
468,137500.0,142179.9,4679.9062,4679.9062,3.4035683,Train
781,234000.0,229336.45,-4663.547,4663.547,-1.9929688,Train
428,191000.0,195631.53,4631.5312,4631.5312,2.4248855,Train
205,95000.0,99618.17,4618.172,4618.172,4.8612337,Train
505,187500.0,192113.64,4613.6406,4613.6406,2.4606082,Train
433,155000.0,150404.5,-4595.5,4595.5,-2.9648387,Train
502,135000.0,139586.56,4586.5625,4586.5625,3.3974538,Train
610,158000.0,153418.95,-4581.047,4581.047,-2.8993967,Train
46,79000.0,83575.14,4575.1406,4575.1406,5.7913175,Train
376,125500.0,130066.03,4566.0312,4566.0312,3.6382718,Train
445,127500.0,132065.88,4565.875,4565.875,3.5810785,Train
312,186000.0,190558.39,4558.3906,4558.3906,2.4507477,Train
898,264561.0,269106.9,4545.9062,4545.9062,1.7182828,Train
1030,172500.0,177040.72,4540.7188,4540.7188,2.6323006,Train
489,230000.0,225467.4,-4532.5938,4532.5938,-1.970693,Train
705,98000.0,102522.875,4522.875,4522.875,4.6151786,Train
244,131000.0,135501.64,4501.6406,4501.6406,3.4363668,Train
1128,136500.0,140991.12,4491.125,4491.125,3.2902014,Train
1053,135000.0,139469.84,4469.8438,4469.8438,3.3109953,Train
1027,181000.0,185456.9,4456.9062,4456.9062,2.4623792,Train
124,128500.0,132937.53,4437.5312,4437.5312,3.4533317,Train
903,200000.0,195582.1,-4417.9062,4417.9062,-2.2089531,Train
641,115000.0,119417.37,4417.367,4417.367,3.841189,Train
814,130000.0,134401.6,4401.5938,4401.5938,3.3858414,Train
1161,100000.0,104395.805,4395.8047,4395.8047,4.395805,Train
639,170000.0,174388.53,4388.5312,4388.5312,2.581489,Train
472,173900.0,178271.05,4371.047,4371.047,2.5135405,Train
900,235128.0,230774.58,-4353.422,4353.422,-1.8515115,Train
424,147000.0,151350.97,4350.9688,4350.9688,2.9598427,Train
921,372402.0,368058.3,-4343.6875,4343.6875,-1.1663975,Train
611,130000.0,134340.89,4340.8906,4340.8906,3.3391466,Train
614,55000.0,59313.594,4313.5938,4313.5938,7.842898,Train
471,151400.0,147110.31,-4289.6875,4289.6875,-2.833347,Train
528,125000.0,129282.625,4282.625,4282.625,3.4261,Train
40,130500.0,134778.56,4278.5625,4278.5625,3.2785919,Train
565,81000.0,85270.84,4270.8438,4270.8438,5.2726464,Train
589,139000.0,143260.88,4260.875,4260.875,3.0653777,Train
6,174000.0,178260.25,4260.25,4260.25,2.4484196,Train
542,125000.0,129253.39,4253.3906,4253.3906,3.4027126,Train
723,259500.0,255247.62,-4252.375,4252.375,-1.6386801,Train
936,117000.0,121251.95,4251.953,4251.953,3.634148,Train
638,475000.0,479248.75,4248.75,4248.75,0.8944737,Train
1023,132500.0,136747.9,4247.9062,4247.9062,3.205967,Train
451,127000.0,131238.19,4238.1875,4238.1875,3.3371556,Train
849,160000.0,164233.38,4233.375,4233.375,2.6458595,Train
739,141000.0,145230.69,4230.6875,4230.6875,3.0004876,Train
547,141000.0,145226.53,4226.5312,4226.5312,2.99754,Train
1061,122000.0,126226.016,4226.0156,4226.0156,3.4639473,Train
457,87000.0,91216.12,4216.117,4216.117,4.846112,Train
1157,164500.0,168709.25,4209.25,4209.25,2.5588145,Train
697,295493.0,299675.4,4182.4062,4182.4062,1.4153994,Train
625,91500.0,95682.336,4182.336,4182.336,4.570859,Train
186,119000.0,123175.19,4175.1875,4175.1875,3.508561,Train
1034,194500.0,198663.84,4163.8438,4163.8438,2.1407938,Train
888,223000.0,218864.31,-4135.6875,4135.6875,-1.8545684,Train
436,277000.0,272866.06,-4133.9375,4133.9375,-1.4923962,Train
948,160000.0,164123.81,4123.8125,4123.8125,2.5773828,Train
510,193879.0,198001.28,4122.2812,4122.2812,2.1262133,Train
269,289000.0,293116.0,4116.0,4116.0,1.4242214,Train
19,184000.0,188101.67,4101.672,4101.672,2.2291696,Train
564,157500.0,161597.45,4097.453,4097.453,2.6015575,Train
227,157000.0,161090.56,4090.5625,4090.5625,2.6054537,Train
334,168000.0,172085.05,4085.0469,4085.0469,2.4315755,Train
999,109900.0,113981.66,4081.6562,4081.6562,3.713973,Train
277,146000.0,150075.03,4075.0312,4075.0312,2.7911172,Train
932,158000.0,162073.17,4073.1719,4073.1719,2.577957,Train
939,294000.0,298060.88,4060.875,4060.875,1.38125,Train
418,135000.0,139060.72,4060.7188,4060.7188,3.0079398,Train
79,172400.0,176442.97,4042.9688,4042.9688,2.3451095,Train
